,Product_Name,Price,Description,Image_URL,Product_Link
0,Animal Print Asymmetric Gathered Maxi Dress,"189,90 EUR","  – See-through
    – Lightweight semi-stretch fabric
    – Designed for a stretchy fit
    – Maxi length
    – Printed
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31371.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31372.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31373.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31374.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3137.jpg']",https://www.esthe.co.uk/product/animal-print-asymmetric-gathered-maxi-dress-brown-animal-print/
1,Animal Print Asymmetric Gathered Top,"69,90 EUR 49,90 EUR","  – Runs slightly small
    – Stretchy material
    – Adjustable cut-out gathering
    – Printed
    – 94% polyester – 6% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32751.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32752.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32753.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32754.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32755.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3275.jpg']",https://www.esthe.co.uk/product/animal-print-asymmetric-gathered-top-black-animal-print/
2,Animal Print Contrast Pleated Bralette,"46,90 EUR","  – Adjustable straps
    – Elasticated band
    – 3 rows of back fastening hooks for added support
    – Printed
    – Pleated
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32301.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32302.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32303.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32304.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3230.jpg']",https://www.esthe.co.uk/product/animal-print-contrast-pleated-bralette-black-animal-print/
3,Animal Print Contrast Pleated Sheer Top,"99,90 EUR","  – Fits true to size
    – Designed for a close fit
    – Bust is lined, all else is sheer
    – Stretch mesh fabric
    – Adjustable straps and channeled gathering
    – Printed
    – Pleated
    – 95% polyester – 5% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31721.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31722.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31723.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31724.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31725.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3172.jpg']",https://www.esthe.co.uk/product/animal-print-contrast-pleated-sheer-top-brown-animal-print/
4,Animal Print Cut-Out Mesh Ribbon Top,"99,90 EUR","  – True to size
    – Adjustable channeled gathering
    – Sheer
    – Printed
    – 95% polyester – 5% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32761.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32762.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32763.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32764.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3276.jpg']",https://www.esthe.co.uk/product/animal-print-cut-out-mesh-ribbon-top-black-animal-print/
5,Animal Print Cut-Out Organza Jumper,"129,90 EUR 89,90 EUR","  – Fit slightly relaxed at top and fitted at waist
    – Non-stretch sheer organza fabric
    – Cut-out opening at waist with contrast adjustable channelled
  gathering
    – Ribbing at neckline and cuffs
    – Printed
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32741.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32742.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32743.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32744.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32745.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32746.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3274.jpg']",https://www.esthe.co.uk/product/animal-print-cut-out-organza-jumper-black-animal-print/
6,Animal Print Drapped Bralette,"44,90 EUR","  – Stretchy jersey fabric
    – Fits true to size
    – Contrast print and solid panelling
    – Cross-over bralette design
    – Cut-out design
    – Elastic waistband
    – Elastic thin straps
    – Printed
    – 94% polyester – 6% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31211.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31212.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31213.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31214.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3121.jpg']",https://www.esthe.co.uk/product/animal-print-drapped-bralette-black-animal-print/
7,Animal Print Gathered Front Ribbon Top,"69,90 EUR","  – Relaxed fit
    – Semi-sheer fabric
    – Adjustable channelled gathering at front
    – Long sleeves
    – Printed
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32721.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32722.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32723.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32724.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3272.jpg']",https://www.esthe.co.uk/product/animal-print-gathered-front-ribbon-top-brown-animal-print/
8,Animal Print Pleated Maxi Skirt,"124,90 EUR","  – Fits true to size
    – Long maxi length
    – Mid-weight fabric
    – Pleated
    – Printed
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32271.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32272.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32273.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32274.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32275.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32276.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3227.jpg']",https://www.esthe.co.uk/product/animal-print-pleated-maxi-skirt-black-animal-print/
9,Animal Print Pleated Sleeveless Top,"109,90 EUR 89,90 EUR","  – Fits true to size
    – Mid-weight fabric
    – Printed
    – Pleated
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32391.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32392.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32393.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32394.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3239.jpg']",https://www.esthe.co.uk/product/animal-print-pleated-sleeveless-top-black-animal-print/
